CFOP;DESCRIÇÃO RESUMIDA [original];DESCRIÇÃO DETALHADA;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.000;1.000 - ENTRADAS OU AQUISIÇÕES DE SERVIÇOS DO ESTADO; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.100;1.100 - COMPRAS PARA INDUSTRIALIZAÇÃO, PRODUÇÃO RURAL, COMERCIALIZAÇÃO OU PRESTAÇÃO DE SERVIÇOS; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.101;1.101 - Compra para industrialização ou produção rural.;Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização ou produção rural.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.102;1.102 - Compra para comercialização.;Classificam-se neste código as compras de mercadorias a serem comercializadas.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.111;1.111 - Compra para industrialização de mercadoria recebida anteriormente em consignação industrial.;Classificam-se neste código as compras efetivas de mercadorias a serem utilizadas em processo de industrialização, recebidas anteriormente a título de consignação industrial.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.113;1.113 - Compra para comercialização, de mercadoria recebida anteriormente em consignação mercantil.;Classificam-se neste código as compras efetivas de mercadorias recebidas anteriormente a título de consignação mercantil.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.116;1.116 - Compra para industrialização ou produção rural originada de encomenda para recebimento futuro.;"Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização ou produção rural, quando da entrada real da mercadoria, cuja aquisição tenha sido classificada no código ""1.922 - Lançamento efetuado a título de simples faturamento decorrente de compra para recebimento futuro”.";;;;;;;;;;;;;;;;;;;;;;;;;;;
1.117;1.117 - Compra para comercialização originada de encomenda para recebimento futuro.;Classificam-se neste código as compras de mercadorias a serem comercializadas, quando da entrada real da mercadoria, cuja aquisição tenha sido classificada no código “1.922 - Lançamento efetuado a título de simples faturamento decorrente de compra para recebimento futuro”.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.118;1.118 - Compra de mercadoria para comercialização pelo adquirente originário, entregue pelo vendedor remetente ao destinatário, em venda à ordem.;Classificam-se neste código as compras de mercadorias já comercializadas, que, sem transitar pelo estabelecimento do adquirente originário, sejam entregues pelo vendedor remetente diretamente ao destinatário, em operação de venda à ordem, cuja venda seja classificada, pelo adquirente originário, no código “5.120 - Venda de mercadoria adquirida ou recebida de terceiros entregue ao destinatário pelo vendedor remetente, em venda à ordem”.;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.120;1.120 - Compra para industrialização, em venda à ordem, já recebida do vendedor remetente.;Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização, em vendas à ordem, já recebidas do vendedor remetente, por ordem do adquirente originário.;;;;;;;;;;;;;;;;;;;;;;;;;;;
